collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
740,34,538226,-2.96471,0.464452,4.51461,-2.59575,211,11,0,65.8125,43264,0.898438,50.5674,1,1135.265137,-1
775,37,557114,-3.3145,0.420448,5.79061,-0.600446,211,10,2,41.9222,159,-1,27.1488,1,99.810608,-1
775,-8,557114,-2.93201,0.135701,1.27685,-1.30685,211,10,4,41.9222,0.367188,-1,27.1488,1,99.810608,-1
853,41,614097,-2.60338,1.7553,11.9215,1.68326,321,9,2,124.552,3984,-1,67.9009,1,149.698868,-1
853,-8,614097,-3.02341,0.420232,4.33048,1.05091,321,9,4,124.552,0.275391,-1,67.9009,1,149.698868,-1
887,-8,639134,-3.34286,0.276458,3.91675,-2.46205,321,11,3,27.9613,0.287109,1.66406,41.9875,1,12.480459,1
887,42,639134,-3.06256,0.558457,5.98359,-2.21348,321,11,0,27.9613,292,1.66406,41.9875,1,12.480459,1
900,45,650135,-3.22393,0.652853,8.215,1.31948,211,10,2,71.4639,17.25,-1,39.4218,1,548.944458,1
900,-8,650135,-3.11237,0.516552,5.81604,1.74979,211,10,4,71.4639,0.839844,-1,39.4218,1,548.944458,1
902,-8,650617,-3.74868,0.58277,12.3806,0.0372604,211,12,3,44.9651,0.0717773,0.917969,20.0865,0,12.480111,1
902,46,650617,4.76471,0.540334,31.6922,1.74213,211,12,0,44.9651,647168,0.917969,20.0865,0,12.480111,-1
948,-8,684516,-3.50279,0.328917,5.46627,0.681349,211,12,3,39.8157,0.136719,1.03125,32.0093,1,-12.49394,-1
948,50,684516,-3.2523,0.602619,7.80042,1.15348,211,12,0,39.8157,64.5,1.03125,32.0093,1,-12.49394,-1
971,-8,705502,-3.61541,0.113425,2.10933,2.36732,321,10,3,22.325,0.234375,2.95312,29.9035,1,112.286301,1
971,52,705502,-3.10693,0.476334,5.33425,2.64782,321,10,0,22.325,54016,2.95312,29.9035,1,112.286301,1
1217,-9,908456,-3.07639,0.384024,4.17166,-0.814457,211,10,3,27.373,0.236328,0.933594,43.3398,1,12.469705,1
1217,-9,906803,-3.46467,0.456328,7.30059,2.82055,421,10,3,58.4345,0.108887,1.46094,27.4863,1,12.469705,-1
1217,63,906803,-3.21956,0.798752,10.0072,2.42396,421,10,0,58.4345,1352,1.46094,27.4863,1,12.469705,-1
1217,62,908456,-3.12311,0.571548,6.50449,-0.81747,211,10,0,27.373,4.75,0.933594,43.3398,1,12.469705,1
1224,-9,915283,-3.68015,0.251969,4.99873,3.03653,321,10,3,62.5452,0.109375,0.449219,36.3441,1,286.927124,-1
1224,66,915283,-3.16984,0.615477,7.33824,2.97761,321,10,0,62.5452,55.25,0.449219,36.3441,1,286.927124,-1
1235,-9,923820,-2.84645,0.281822,2.43559,2.15296,321,11,3,16.9656,0.445312,4.96875,61.0775,1,361.787262,1
1235,68,923820,-2.63305,0.619949,4.33591,2.06429,321,11,0,16.9656,1128,4.96875,61.0775,1,361.787262,1
1329,-9,997981,-2.90862,0.438497,4.0311,2.71603,421,10,3,101.026,0.157227,0.613281,53.2567,1,12.471285,1
