collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
720,-21,934061,-3.12444,1.91268,21.796,-2.88874,211,10,3,84.8735,0.0532227,0.100098,46.3989,1,12.488757,1
1115,-21,1245403,-2.69367,0.831,6.17164,-1.84099,211,12,3,37.6707,0.0942383,1.09375,71.0717,1,12.460562,-1
1274,-22,1370685,-2.83534,0.515512,4.40633,-0.134743,321,8,3,153.217,0.582031,0.361328,26.6312,1,561.384949,1
1547,-22,1579781,-2.52848,0.765464,4.82784,-1.77693,321,10,3,38.583,0.11377,0.933594,80.2739,1,12.469435,-1
419,-1,335092,-2.83592,0.599488,5.12702,-0.414751,211,10,3,38.7929,0.142578,0.249023,55.1907,1,37.442097,-1
736,-5,576726,-3.26195,0.576293,7.53177,1.95371,321,12,3,49.8749,0.134766,1.28125,31.6144,1,636.24646,-1
755,-5,588021,-2.76423,0.687479,5.47569,-2.17199,211,10,3,42.6805,0.0991211,2.23438,62.188,0,760.996704,1
1168,-6,899438,-2.85892,0.593494,5.19305,-0.212411,211,10,3,168.327,0.173828,1.78906,26.2149,0,212.079239,-1
1376,-6,1064473,-2.76599,0.654575,5.22272,0.343694,411,10,3,277.396,0.339844,0.9375,16.4803,1,212.08168,1
1446,-6,1126788,-3.14884,0.631173,7.36955,1.94053,211,11,3,50.6432,0.351562,0.165039,45.0329,1,985.565186,-1
118,-1,94276,-3.79211,0.678146,15.0454,-2.58036,321,11,3,62.5073,0.106934,0.122559,18.7951,1,12.475328,-1
395,-1,310543,-2.76611,0.718281,5.73172,0.600926,211,12,3,233.163,0.129883,0.644531,24.9764,1,1284.985596,-1
626,-8,498910,-2.7727,0.676298,5.4321,0.986365,211,11,3,155.709,0.0625,1.77344,34.7772,0,12.479503,-1
782,-8,632567,-3.32916,0.839947,11.7385,-1.37695,211,10,3,131.176,0.0578613,1.15625,26.4251,1,87.316032,1
792,-8,643217,-3.40812,0.78921,11.9335,1.77553,321,16,3,58.103,0.125977,1.57031,31.9285,1,87.353889,1
802,-8,650260,-2.90489,0.683921,6.26402,-0.279935,211,10,3,105.594,0.0986328,1.00781,39.5913,1,137.246674,-1
829,-8,670745,-3.38659,0.613036,9.07259,-0.588403,211,10,3,87.8539,0.120605,0.695312,25.2563,1,561.376648,1
855,-8,690412,-3.31057,0.9858,13.5239,1.02221,421,13,3,99.9159,0.0683594,0.259766,30.847,1,62.377827,-1
1073,-8,857700,-3.12606,1.08994,12.4406,-3.14073,211,10,3,70.2024,0.224609,0.267578,46.7244,1,12.457623,-1
1192,-9,948356,-2.8675,2.25986,19.9431,1.38831,321,10,3,109.958,0.09375,0.902344,54.2085,1,-12.481745,-1
1375,-9,1099269,-2.67342,0.977099,7.11252,1.40929,211,12,3,73.5542,0.101562,1.0,60.4136,1,1035.457886,1
1574,-9,1259974,-2.82032,0.676969,5.7007,-0.773961,321,10,3,75.0225,0.119141,0.835938,47.041,1,12.478187,-1
38,-39,431997,-3.23076,0.6399,8.107,-2.72046,211,9,3,150.443,0.216797,2.1875,24.6599,1,-1260.014771,-1
589,-40,849289,-2.9101,0.713962,6.57314,-2.60905,211,9,3,163.473,0.291016,0.734375,29.7306,1,12.475572,-1
756,-40,965667,-3.08534,1.41229,15.4791,2.63718,211,10,3,134.696,0.0449219,1.32031,39.4942,1,12.470086,-1
810,-40,1009096,-3.97511,0.734577,19.5673,0.682735,431,10,3,69.8584,0.0766602,0.172852,21.7856,1,12.489043,-1
840,-40,1034673,-3.19868,0.687306,8.43361,0.965432,211,11,3,52.8001,0.148438,0.373047,40.7329,0,860.809082,1
1012,-40,1143457,-3.57635,0.502207,8.98216,2.53762,421,10,3,80.2499,0.0437012,0.515625,20.3126,1,-536.454285,-1
